2500;rouge;rojo
2501;bleu;azul
2502;jaune;amarillo
2503;orange;naranja
2504;vert;verde
2505;violet;violeta
2506;noir;negro
2507;blanc;blanco
2508;brun;marrón
2509;rose;rosa
2510;gris;gris
2511;la couleur;el color
2512;les couleurs chaudes;los colores cálidos
2513;les couleurs froides;los colores fríos
2514;sombre;oscuro
2515;clair;claro
2516;beige;beige
2517;bleu marine;azul marino
2518;bleu ciel;azul celeste
2519;turquoise;turquesa
2520;bordeaux;burdeos
2521;mauve;morado
2522;argenté;plateado
2523;doré;dorado
2524;cuivré;cobrizo
2525;cannelle;canela
2526;vif;vivo
2527;intense;intenso
2528;vermillon;bermellón
2529;pistache;pistacho
2530;orangé;anaranjado
2531;rosé;rosado
2532;fuchsia;fucsia
2533;cyan;cian
2534;magenta;magenta
2535;couleur chair;color carne
2536;pourpre;púrpura
2537;indigo;añil
2538;jaunâtre;amarillento
2539;rougeâtre;rojizo
2540;grisâtre;grisáceo
2541;verdâtre;verdoso
2542;un coloriage;una iluminación
2543;multicolore;multicolor
2544;criard;chillón
2545;lumineux;luminoso
2546;cannelle;canela
2547;lilas;lila
2548;chatoyant;tornasolado
2549;nuancer;matizar
