700;La grand-mère;La abuela
701;Le grand-père;El abuelo
702;La filleule;La ahijada
703;Le filleul;El ahijado
704;Être marié;Estar casado
705;Être fiancé;Estar comprometido
706;Être divorcé;Estar divorciado
707;Être séparé;Estar separado
708;Être célibataire;Estar soltero
709;Être veuf;Estar viudo
710;Jumeau, jumelle;Gemelo/a
711;La soeur;La hermana
712;La belle-sœur;La hermanastra
713;Le beau-frère;El hermanastro
714;Le frère;El hermano
715;Les frères et soeurs.;Los hermanos
716;La fille;La hija
717;Le fils;El hijo
718;La belle-mère;La madrastra
719;La mère;La madre
720;La marraine;La madrina
721;Le mari;El marido
722;L'ainé;Mayor
723;La demi-soeur;La media hermana
724;Le demi-frère;El medio hermano
725;Le cadet;Menor
726;La femme;La mujer
727;La petite-fille;La nieta
728;Le petit-fils;El nieto
729;Les petits-enfants;Los nietos
730;La fiancée;La novia
731;Le fiancé;El novio
732;Les fiancés;Los novios
733;Le beau-père;El padrastro
734;Le père;El padre
735;Les parents;Los padres
736;Le parrain;El padrino
737;Le couple;La pareja
738;La cousine;La prima
739;Le cousin;El primo
740;La nièce;La sobrina
741;Le neveu;El sobrino
742;Les neveux/nièces;Los sobrinos
743;Je suis l'ainé;Soy el mayor
744;Je suis la cadette;Soy la menor
745;La belle-mère;La suegra
746;Le beau-père;El suegro
747;Avoir des enfants;Tener hijos
748;La tante;La tía
749;L'oncle;El tío
