1600;Le paysan;El campesino
1601;Le cotonnier;El algodonero
1602;L'entrepreneur;El constructor
1603;L'architecte;El arquitecto
1604;Le réalisateur;El director
1605;Le professeur agrégé;El catedrático
1606;Le chercheur;El investigador
1607;Le pompier volontaire;El brigadista
1608;Le métier;El oficio
1609;Le scientifique;El científico
1610;Le médecin;El médico
1611;L'avocat;El abogado
1612;Le professeur;El profesor
1613;Le menuisier;El carpintero
1614;Le pompier;El bombero
1615;Le secouriste;El socorrista
1616;L'infirmier;El enfermera
1617;L'acteur;El actor
1618;L'écrivain;El escritor
1619;Le balayeur;El limpiador
1620;Le chauffeur-livreur (arg.);El fletero (argentine)
1621;L'électricien;El electricista
1622;Le chauffeur de taxi;El taxista
1623;Le travailleur;El trabajador
1624;Le banquier;El bancario
1625;L'archéologue;El arqueólogo
1626;L'artiste;El artista
1627;L'ouvrier forestier;El operario de montes
1628;L'auteur de bandes dessinées;El historietista
1629;Le juge;El juez
1630;Le ferrailleur;El chatarrero
1631;L'enseignant;El docente
1632;Le spécialiste;El estudioso
1633;L'espion;El espía
1634;Le maire;El alcalde
1635;Le diplomate;El diplomatíco
1636;L'ambassadeur;El embajador
1637;Le conseiller municipal;El concejal
1638;l'homme politique;El político
1639;Le député;El diputado
1640;Le sénateur;El senador
1641;Le chirurgien;El cirujano
1642;Le marchand;El mercader
1643;Le fonctionnaire;El servidor público
1644;L'entrepreneur;El empresario
1645;L'obtétricien;El obstetra
1646;La sage-femme;La partera
1647;Le scénariste;El guionista
1648;Le romancier;El novelista
1649;Le journaliste;El periodista
